Grupos de edad;Ambos Sexos
Nacional;
Total;50.372.424
00-04;3.927.256
05-09;3.936.569
10-14;3.975.771
15-19;4.136.556
20-24;4.327.019
25-29;4.224.837
30-34;3.866.655
35-39;3.604.026
40-44;3.221.169
45-49;2.909.035
50-54;2.834.927
55-59;2.599.963
60-64;2.146.355
65-69;1.648.967
70-74;1.199.084
75-79;804.743
80-84;494.772
85-89;282.741
90-94;146.115
95-99;62.919
100 AÑOS Y MÁS;22.945
Antioquia;
Total;6.677.930
00-04;462.375
05-09;467.103
10-14;482.176
15-19;519.500
20-24;572.975
25-29;582.702
30-34;537.182
35-39;495.503
40-44;428.127
45-49;384.036
50-54;399.613
55-59;379.911
60-64;314.059
65-69;239.369
70-74;171.913
75-79;112.275
80-84;65.694
85-89;35.437
90-94;17.265
95-99;7.371
100 AÑOS Y MÁS;3.344
Atlántico;
Total;2.722.128
00-04;226.974
05-09;225.820
10-14;225.355
15-19;232.282
20-24;235.839
25-29;230.139
30-34;212.053
35-39;196.025
40-44;172.223
45-49;152.026
50-54;147.259
55-59;134.984
60-64;109.111
65-69;81.773
70-74;57.535
75-79;37.300
80-84;22.410
85-89;12.462
90-94;6.311
95-99;2.779
100 AÑOS Y MÁS;1.468
Bogotá, D.C.;
Total;7.743.955
00-04;493.287
05-09;482.823
10-14;490.700
15-19;550.879
20-24;711.590
25-29;749.246
30-34;673.163
35-39;613.704
40-44;539.925
45-49;477.123
50-54;468.097
55-59;435.209
60-64;352.709
65-69;260.464
70-74;183.141
75-79;119.787
80-84;71.361
85-89;39.366
90-94;19.577
95-99;8.078
100 AÑOS Y MÁS;3.726
Bolívar;
Total;2.180.976
00-04;199.254
05-09;195.887
10-14;193.275
15-19;195.572
20-24;188.765
25-29;177.593
30-34;161.752
35-39;146.875
40-44;130.971
45-49;118.474
50-54;113.426
55-59;100.572
60-64;81.191
65-69;62.440
70-74;44.477
75-79;29.737
80-84;18.966
85-89;11.314
90-94;6.132
95-99;2.792
100 AÑOS Y MÁS;1.511
Boyacá;
Total;1.242.731
00-04;92.449
05-09;95.970
10-14;98.733
15-19;99.315
20-24;95.443
25-29;88.587
30-34;84.114
35-39;84.816
40-44;81.460
45-49;76.135
50-54;73.122
55-59;67.718
60-64;58.865
65-69;47.850
70-74;36.084
75-79;25.532
80-84;17.027
85-89;10.543
90-94;5.907
95-99;2.609
100 AÑOS Y MÁS;452
Caldas;
Total;1.018.453
00-04;64.815
05-09;65.170
10-14;67.762
15-19;73.975
20-24;77.625
25-29;76.957
30-34;71.389
35-39;70.347
40-44;65.696
45-49;63.209
50-54;66.160
55-59;64.930
60-64;58.379
65-69;46.913
70-74;34.362
75-79;22.953
80-84;13.912
85-89;7.791
90-94;3.959
95-99;1.668
100 AÑOS Y MÁS;481
Caquetá;
Total;410.521
00-04;40.354
05-09;41.110
10-14;41.246
15-19;39.832
20-24;36.424
25-29;33.321
30-34;29.791
35-39;27.044
40-44;24.000
45-49;21.317
50-54;19.473
55-59;16.634
60-64;13.091
65-69;9.735
70-74;6.964
75-79;4.675
80-84;2.806
85-89;1.551
90-94;763
95-99;316
100 AÑOS Y MÁS;74
Cauca;
Total;1.491.937
00-04;118.607
05-09;120.544
10-14;124.343
15-19;132.219
20-24;134.433
25-29;125.088
30-34;113.319
35-39;107.641
40-44;94.616
45-49;81.210
50-54;75.028
55-59;68.328
60-64;57.463
65-69;45.601
70-74;34.567
75-79;24.469
80-84;16.133
85-89;9.894
90-94;5.439
95-99;2.361
100 AÑOS Y MÁS;634
Cesar;
Total;1.295.387
00-04;129.669
05-09;128.437
10-14;125.166
15-19;120.576
20-24;114.665
25-29;109.145
30-34;98.793
35-39;88.346
40-44;77.997
45-49;68.410
50-54;60.589
55-59;50.842
60-64;39.499
65-69;30.745
70-74;22.126
75-79;13.978
80-84;8.297
85-89;4.534
90-94;2.248
95-99;985
100 AÑOS Y MÁS;340
Córdoba;
Total;1.828.947
00-04;164.745
05-09;163.222
10-14;161.194
15-19;159.081
20-24;151.860
25-29;141.158
30-34;128.469
35-39;121.071
40-44;112.351
45-49;104.765
50-54;99.069
55-59;87.449
60-64;71.806
65-69;53.808
70-74;41.067
75-79;29.624
80-84;18.451
85-89;10.696
90-94;5.625
95-99;2.464
100 AÑOS Y MÁS;972
Cundinamarca;
Total;3.242.999
00-04;244.289
05-09;243.001
10-14;246.718
15-19;262.051
20-24;275.164
25-29;270.381
30-34;255.403
35-39;245.515
40-44;218.004
45-49;194.493
50-54;185.798
55-59;167.696
60-64;137.857
65-69;105.697
70-74;76.390
75-79;50.979
80-84;31.284
85-89;17.926
90-94;9.247
95-99;3.966
100 AÑOS Y MÁS;1.140
Chocó;
Total;544.764
00-04;59.304
05-09;60.802
10-14;59.933
15-19;55.344
20-24;47.767
25-29;43.799
30-34;40.445
35-39;33.896
40-44;28.574
45-49;24.612
50-54;21.187
55-59;19.523
60-64;16.222
65-69;11.744
70-74;7.588
75-79;5.119
80-84;3.760
85-89;2.519
90-94;1.538
95-99;758
100 AÑOS Y MÁS;330
Huila;
Total;1.122.622
00-04;103.750
05-09;102.300
10-14;100.170
15-19;98.527
