Date of Lead Publication,Date Imported,Lead Title,Lead URL,Author,Source,Modified Excerpt,Original Excerpt,Operational Environment - Dimension,Operational Environment - Subdimension,Context additional tags - Dimension,Context additional tags - Subdimension,DEMOGRAPHIC GROUPS,AFFECTED GROUPS,SPECIFIC NEEDS GROUPS,Information Date (From),Information Date (To),Colombia Polygons,Country,Country (code),Departments,Departments (code),Municipalities,Municipalities (code),Sectoral Information - Dimension,Sectoral Information - Subdimension,Sectoral Information - Sector,Sectoral Information - Subsectors,DISPLACEMENT PROFILE DETAILS,Reliability,Severity,DISPLACEMENT PROFILE DETAILS
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"Highlights
• The Venezuelan migrant crisis is only second
to Syria and forecast to surpass it in 2020,
with some 6.5 million Venezuelans (over 20%
of the population) projected to have fled from
critical living conditions in their country.
According to the 2020 Regional Refugee and
Migrant Response Plan (RMRP), ca. USD 1.3
billion are needed to address pressing needs.
• In November, WFP has scaled-up its
assistance, reaching an all-time high 285,000
vulnerable people in seven Colombian
departments with hot meals in community
kitchens, unconditional vouchers, food kits for
migrants in transit and emergency school
feeding. However, more is needed as migrant
flows are projected to continue growing.
• In this context of increasing needs, WFP
Colombia is planning to nearly double the
number of people we support in 2020, for
which we initially project some USD 150
million will be needed.",,,,,,,Migrants,,,,,Colombia,Colombia,Nariño,Nariño,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"Highlights
• The Venezuelan migrant crisis is only second
to Syria and forecast to surpass it in 2020,
with some 6.5 million Venezuelans (over 20%
of the population) projected to have fled from
critical living conditions in their country.
According to the 2020 Regional Refugee and
Migrant Response Plan (RMRP), ca. USD 1.3
billion are needed to address pressing needs.
• In November, WFP has scaled-up its
assistance, reaching an all-time high 285,000
vulnerable people in seven Colombian
departments with hot meals in community
kitchens, unconditional vouchers, food kits for
migrants in transit and emergency school
feeding. However, more is needed as migrant
flows are projected to continue growing.
• In this context of increasing needs, WFP
Colombia is planning to nearly double the
number of people we support in 2020, for
which we initially project some USD 150
million will be needed.",,,,,,,Displaced,,,,,Colombia,Colombia,Nariño,Nariño,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"Highlights
• The Venezuelan migrant crisis is only second
to Syria and forecast to surpass it in 2020,
with some 6.5 million Venezuelans (over 20%
of the population) projected to have fled from
critical living conditions in their country.
According to the 2020 Regional Refugee and
Migrant Response Plan (RMRP), ca. USD 1.3
billion are needed to address pressing needs.
• In November, WFP has scaled-up its
assistance, reaching an all-time high 285,000
vulnerable people in seven Colombian
departments with hot meals in community
kitchens, unconditional vouchers, food kits for
migrants in transit and emergency school
feeding. However, more is needed as migrant
flows are projected to continue growing.
• In this context of increasing needs, WFP
Colombia is planning to nearly double the
number of people we support in 2020, for
which we initially project some USD 150
million will be needed.",,,,,,,Migrants,,,,,Colombia,Colombia,,,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"Highlights
• The Venezuelan migrant crisis is only second
to Syria and forecast to surpass it in 2020,
with some 6.5 million Venezuelans (over 20%
of the population) projected to have fled from
critical living conditions in their country.
According to the 2020 Regional Refugee and
Migrant Response Plan (RMRP), ca. USD 1.3
billion are needed to address pressing needs.
• In November, WFP has scaled-up its
assistance, reaching an all-time high 285,000
vulnerable people in seven Colombian
departments with hot meals in community
kitchens, unconditional vouchers, food kits for
migrants in transit and emergency school
feeding. However, more is needed as migrant
flows are projected to continue growing.
• In this context of increasing needs, WFP
Colombia is planning to nearly double the
number of people we support in 2020, for
which we initially project some USD 150
million will be needed.",,,,,,,Displaced,,,,,Colombia,Colombia,,,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"WFP carried out an Emergency Food Security
Assessment (EFSA) in September in five Colombian
bordering departments. Results show that 54 percent
of Venezuelans are food insecure. More concerning is
that 8 in 10 migrants in transit are food insecure, as are
6 in 10 pendular migrants, who regularly commute
between Venezuela and Colombia in search of food and
basic services. 55 percent of Venezuelans are using
negative strategies to cope with this situation and half
of the surveyed report having begged on the streets.
• WFP is conducting an EFSA and market assessment in
urban areas of the Atlántico department to understand
the food security and nutrition situation of populations
affected by Venezuela’s migrant crisis.
• In November, WFP conducted a Data Protection and
Privacy Assessment in Nariño. Results indicate that 97
percent of people surveyed would feel comfortable with
providing their personal data to WFP. Findings
supported the beneficiary registration pilot in Nariño.",,,,,,,Migrants,,,,,Colombia,Colombia,Nariño,Nariño,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"WFP carried out an Emergency Food Security
Assessment (EFSA) in September in five Colombian
bordering departments. Results show that 54 percent
of Venezuelans are food insecure. More concerning is
that 8 in 10 migrants in transit are food insecure, as are
6 in 10 pendular migrants, who regularly commute
between Venezuela and Colombia in search of food and
basic services. 55 percent of Venezuelans are using
negative strategies to cope with this situation and half
of the surveyed report having begged on the streets.
• WFP is conducting an EFSA and market assessment in
urban areas of the Atlántico department to understand
the food security and nutrition situation of populations
affected by Venezuela’s migrant crisis.
• In November, WFP conducted a Data Protection and
Privacy Assessment in Nariño. Results indicate that 97
percent of people surveyed would feel comfortable with
providing their personal data to WFP. Findings
supported the beneficiary registration pilot in Nariño.",,,,,,,Displaced,,,,,Colombia,Colombia,Nariño,Nariño,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"WFP carried out an Emergency Food Security
Assessment (EFSA) in September in five Colombian
bordering departments. Results show that 54 percent
of Venezuelans are food insecure. More concerning is
that 8 in 10 migrants in transit are food insecure, as are
6 in 10 pendular migrants, who regularly commute
between Venezuela and Colombia in search of food and
basic services. 55 percent of Venezuelans are using
negative strategies to cope with this situation and half
of the surveyed report having begged on the streets.
• WFP is conducting an EFSA and market assessment in
urban areas of the Atlántico department to understand
the food security and nutrition situation of populations
affected by Venezuela’s migrant crisis.
• In November, WFP conducted a Data Protection and
Privacy Assessment in Nariño. Results indicate that 97
percent of people surveyed would feel comfortable with
providing their personal data to WFP. Findings
supported the beneficiary registration pilot in Nariño.",,,,,,,Migrants,,,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,"WFP carried out an Emergency Food Security
Assessment (EFSA) in September in five Colombian
bordering departments. Results show that 54 percent
of Venezuelans are food insecure. More concerning is
that 8 in 10 migrants in transit are food insecure, as are
6 in 10 pendular migrants, who regularly commute
between Venezuela and Colombia in search of food and
basic services. 55 percent of Venezuelans are using
negative strategies to cope with this situation and half
of the surveyed report having begged on the streets.
• WFP is conducting an EFSA and market assessment in
urban areas of the Atlántico department to understand
the food security and nutrition situation of populations
affected by Venezuela’s migrant crisis.
• In November, WFP conducted a Data Protection and
Privacy Assessment in Nariño. Results indicate that 97
percent of people surveyed would feel comfortable with
providing their personal data to WFP. Findings
supported the beneficiary registration pilot in Nariño.",,,,,,,Displaced,,,,,Colombia,Colombia,,,,,HUMANITARIAN CONDITIONS,Living Standards,Food security,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,https://api.thedeep.io/private-file/452f4550-b9d9-4ce5-99de-3ce06e5e7f6e/a7791533-e9d.jpeg,,,,,,,Migrants,,,,,Colombia,Colombia,Nariño,Nariño,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
01-01-2020,02-01-2020,"WFP Colombia Situation Report, December 2019",https://reliefweb.int/sites/reliefweb.int/files/resources/WFP%20Colombia%20External%20Situation%20Report%20DEC%202019.pdf,World Food Programme,Redhum,https://api.thedeep.io/private-file/452f4550-b9d9-4ce5-99de-3ce06e5e7f6e/a7791533-e9d.jpeg,,,,,,,Displaced,,,,,Colombia,Colombia,Nariño,Nariño,,,RESPONSE AND CAPACITIES,International ,Cross-sector,,,Usually Reliable,Of Concern. Monitoring required,
